src, length, time
1, 246 , 0.640961 
1, 247 , 0.643875 
1, 248 , 0.646937 
1, 249 , 0.649428 
1, 250 , 0.651644 
1, 251 , 0.654307 
1, 252 , 0.657053 
1, 253 , 0.659897 
1, 254 , 0.662323 
1, 255 , 0.664843 
1, 256 , 0.667340 
1, 257 , 0.669749 
1, 258 , 0.672095 
1, 259 , 0.675335 
1, 260 , 0.677858 
1, 261 , 0.680858 
1, 262 , 0.683653 
1, 263 , 0.686055 
1, 264 , 0.688142 
1, 265 , 0.690590 
1, 266 , 0.693854 
1, 267 , 0.695962 
1, 268 , 0.700084 
1, 269 , 0.704954 
1, 270 , 0.707875 
1, 271 , 0.710436 
1, 272 , 0.713774 
1, 273 , 0.716346 
1, 274 , 0.719316 
1, 275 , 0.722402 
1, 276 , 0.725840 
1, 277 , 0.729058 
1, 278 , 0.731694 
1, 279 , 0.734115 
1, 280 , 0.737356 
1, 281 , 0.740252 
1, 282 , 0.742841 
1, 283 , 0.746175 
1, 284 , 0.749399 
1, 285 , 0.751650 
1, 286 , 0.754776 
1, 287 , 0.757580 
1, 288 , 0.760922 
1, 289 , 0.763350 
1, 290 , 0.765786 
1, 291 , 0.768708 
1, 292 , 0.771578 
1, 293 , 0.773939 
1, 294 , 0.777329 
1, 295 , 0.779917 
1, 296 , 0.782189 
1, 297 , 0.785481 
1, 298 , 0.788377 
1, 299 , 0.791725 
1, 300 , 0.794294 
1, 301 , 0.796289 
1, 302 , 0.798224 
1, 303 , 0.800102 
1, 304 , 0.802061 
1, 305 , 0.804425 
1, 306 , 0.806285 
1, 307 , 0.808277 
1, 308 , 0.810840 
1, 309 , 0.813612 
1, 310 , 0.816039 
1, 311 , 0.818611 
1, 312 , 0.821039 
1, 313 , 0.823545 
1, 314 , 0.826348 
1, 315 , 0.828646 
1, 316 , 0.831031 
1, 317 , 0.833170 
1, 318 , 0.835439 
1, 319 , 0.837649 
1, 320 , 0.839780 
1, 321 , 0.842219 
1, 322 , 0.844405 
1, 323 , 0.846642 
1, 324 , 0.848465 
1, 325 , 0.850522 
1, 326 , 0.852493 
1, 327 , 0.854397 
1, 328 , 0.856212 
1, 329 , 0.858656 
1, 330 , 0.860599 
1, 331 , 0.862436 
1, 332 , 0.864208 
1, 333 , 0.866061 
1, 334 , 0.868893 
1, 335 , 0.871412 
1, 336 , 0.873669 
1, 337 , 0.876864 
1, 338 , 0.879286 
1, 339 , 0.881461 
1, 340 , 0.884278 
1, 341 , 0.886737 
1, 342 , 0.888790 
1, 343 , 0.892029 
1, 344 , 0.894475 
1, 345 , 0.896740 
1, 346 , 0.899707 
1, 347 , 0.902147 
1, 348 , 0.905021 
1, 349 , 0.907511 
1, 350 , 0.910264 
1, 351 , 0.913357 
1, 352 , 0.915799 
1, 353 , 0.918163 
1, 354 , 0.921200 
1, 355 , 0.924021 
1, 356 , 0.926423 
1, 357 , 0.929427 
1, 358 , 0.931953 
1, 359 , 0.934750 
1, 360 , 0.938118 
1, 361 , 0.940524 
1, 362 , 0.943474 
1, 363 , 0.945903 
1, 364 , 0.948170 
1, 365 , 0.951436 
1, 366 , 0.954258 
1, 367 , 0.956403 
1, 368 , 0.959531 
1, 369 , 0.962542 
1, 370 , 0.964857 
1, 371 , 0.967819 
1, 372 , 0.970681 
1, 373 , 0.974093 
1, 374 , 0.976938 
1, 375 , 0.979251 
1, 376 , 0.981110 
1, 377 , 0.982909 
1, 378 , 0.984756 
1, 379 , 0.986607 
1, 380 , 0.988548 
1, 381 , 0.990299 
1, 382 , 0.992611 
1, 383 , 0.994782 
1, 384 , 0.996513 
1, 385 , 0.998782 
1, 386 , 1.001049 
1, 387 , 1.003523 
1, 388 , 1.005619 
1, 389 , 1.007885 
1, 390 , 1.010179 
1, 391 , 1.012253 
1, 392 , 1.014353 
1, 393 , 1.016501 
1, 394 , 1.018624 
1, 395 , 1.020418 
1, 396 , 1.022630 
1, 397 , 1.025075 
1, 398 , 1.027171 
1, 399 , 1.029443 
1, 400 , 1.031765 
1, 401 , 1.033824 
1, 402 , 1.035796 
1, 403 , 1.037795 
1, 404 , 1.039718 
1, 405 , 1.041844 
1, 406 , 1.044000 
1, 407 , 1.045955 
1, 408 , 1.047906 
1, 409 , 1.049571 
1, 410 , 1.051422 
1, 411 , 1.053257 
1, 412 , 1.054938 
1, 413 , 1.056784 
1, 414 , 1.058866 
1, 415 , 1.060733 
1, 416 , 1.062528 
1, 417 , 1.065233 
1, 418 , 1.067465 
1, 419 , 1.069438 
1, 420 , 1.072117 
1, 421 , 1.074421 
1, 422 , 1.077315 
1, 423 , 1.079731 
1, 424 , 1.082039 
1, 425 , 1.084795 
1, 426 , 1.087205 
1, 427 , 1.089488 
1, 428 , 1.092376 
1, 429 , 1.095151 
1, 430 , 1.097297 
1, 431 , 1.100519 
1, 432 , 1.102918 
1, 433 , 1.105093 
1, 434 , 1.108176 
1, 435 , 1.110611 
1, 436 , 1.113639 
1, 437 , 1.116162 
1, 438 , 1.118487 
1, 439 , 1.121225 
1, 440 , 1.123627 
1, 441 , 1.126070 
1, 442 , 1.129992 
1, 443 , 1.132470 
1, 444 , 1.134583 
1, 445 , 1.137400 
1, 446 , 1.139716 
1, 447 , 1.143003 
1, 448 , 1.145850 
1, 449 , 1.148304 
1, 450 , 1.151072 
1, 451 , 1.153399 
